SN1996af,2450246.60,,,,,,,,,,,,,19.652,+0.086,-0.080,19.110,+0.057,-0.055
SN1996af,2450248.81,,,,,,,,,,,,,19.409,+0.028,-0.027,18.983,+0.025,-0.024
SN1996af,2450254.93,,,,,,,19.022,+0.019,-0.019,,,,,,,,,
SN1996af,2450255.82,,,,,,,,,,,,,19.645,+0.044,-0.042,18.974,+0.036,-0.035
SN1996af,2450256.23,20.452,+0.037,-0.036,19.456,+0.016,-0.015,,,,18.883,+0.046,-0.044,,,,,,
SN1996af,2450267.93,,,,,,,,,,,,,20.953,+0.217,-0.181,19.808,+0.100,-0.092
SN1996af,2450276.76,,,,,,,,,,,,,21.547,+0.243,-0.198,20.691,+0.191,-0.162
SN1996af,2450276.81,,,,,,,,,,,,,21.645,+0.236,-0.194,21.002,+0.253,-0.205
SN1996af,2450289.21,,,,21.683,+0.128,-0.114,,,,21.961,,-1.516,,,,,,
SN1996af,2450297.84,,,,,,,,,,,,,22.273,,-0.904,22.134,+1.962,-0.660
SN1996ag,2450246.62,,,,,,,,,,,,,20.403,+0.291,-0.229,19.967,+0.074,-0.069
SN1996ag,2450248.81,,,,,,,,,,,,,20.006,+0.079,-0.074,19.869,+0.049,-0.047
SN1996ag,2450252.93,,,,,,,19.655,+0.096,-0.088,,,,,,,,,
SN1996ag,2450253.90,,,,,,,19.789,+0.097,-0.089,,,,,,,,,
SN1996ag,2450254.92,,,,,,,19.603,+0.046,-0.044,,,,,,,,,
SN1996ag,2450255.82,,,,,,,,,,,,,19.716,+0.100,-0.091,19.757,+0.049,-0.047
SN1996ag,2450256.14,20.173,+0.028,-0.028,19.784,+0.024,-0.024,,,,19.922,+0.094,-0.087,,,,,,
SN1996ag,2450267.93,,,,,,,,,,,,,20.386,+0.384,-0.283,19.731,+0.167,-0.145
SN1996ag,2450273.82,,,,,,,,,,,,,20.810,+0.343,-0.260,20.205,+0.167,-0.145
SN1996ag,2450276.76,,,,,,,,,,,,,21.000,+0.386,-0.284,20.179,+0.115,-0.104
SN1996ag,2450288.76,,,,,,,,,,,,,21.373,+0.985,-0.508,21.061,+0.142,-0.126
SN1996ag,2450289.10,,,,21.347,+0.127,-0.114,,,,20.880,+0.245,-0.200,,,,,,
SN1996ag,2450310.19,,,,22.262,+0.228,-0.188,,,,22.799,+0.372,-0.276,,,,,,
SN1996aj,2450231.58,,,,,,,,,,,,,21.619,,-0.854,19.931,+0.467,-0.325
SN1996aj,2450249.65,,,,,,,,,,,,,19.889,+0.093,-0.085,19.126,+0.059,-0.056
SN1996aj,2450255.54,,,,,,,,,,,,,20.403,+0.095,-0.087,19.343,+0.066,-0.062
SN1996aj,2450255.98,20.849,+0.119,-0.107,20.056,+0.050,-0.047,,,,20.260,+0.116,-0.105,,,,,,
SN1996aj,2450462.78,,,,,,,,,,,,,21.613,+0.690,-0.418,21.471,+0.470,-0.327
SN1996am,2450273.82,,,,,,,,,,,,,21.338,+0.353,-0.266,21.747,+1.173,-0.551
SN1996am,2450276.76,,,,,,,,,,,,,19.966,+0.058,-0.055,19.724,+0.073,-0.068
SN1996am,2450276.79,,,,,,,,,,,,,20.004,+0.060,-0.057,19.667,+0.076,-0.071
SN1996am,2450288.75,,,,,,,,,,,,,18.446,+0.024,-0.024,18.233,+0.156,-0.137
SN1996am,2450288.82,,,,,,,,,,,,,18.437,+0.020,-0.020,18.306,+0.097,-0.089
SN1996am,2450289.02,18.655,+0.008,-0.008,18.483,+0.016,-0.015,,,,18.672,+0.045,-0.043,,,,,,
SN1996am,2450310.13,20.271,+0.021,-0.021,19.188,+0.021,-0.021,,,,19.279,+0.037,-0.036,,,,,,
SN1996am,2450312.77,,,,,,,,,,,,,19.583,+0.044,-0.042,19.040,+0.018,-0.018
SN1996am,2450327.75,,,,,,,,,,,,,20.414,+0.172,-0.148,19.528,+0.087,-0.080
SN1996am,2450334.66,,,,,,,,,,,,,,,,19.860,+0.081,-0.075
SN1996am,2450370.04,,,,21.248,+0.076,-0.071,,,,20.840,+0.419,-0.301,,,,,,
SN1996am,2450349.08,,,,20.817,+0.070,-0.066,,,,20.496,+0.125,-0.112,,,,,,
SN1996am,2450600.85,,,,,,,,,,,,,,,,24.475,,-2.586
SN1996ao,2450310.25,20.471,+0.021,-0.021,19.293,+0.012,-0.012,,,,18.484,+0.017,-0.017,,,,,,
SN1996ao,2450297.88,,,,,,,,,,,,,18.708,+0.032,-0.031,18.540,+0.030,-0.030
SN1996ao,2450369.23,22.694,+0.272,-0.217,21.471,+0.181,-0.155,,,,,,,,,,,,
SN1996ao,2450312.85,,,,,,,,,,,,,19.797,+0.057,-0.055,18.824,+0.040,-0.038
SN1996ao,2450370.24,,,,,,,,,,21.298,+0.422,-0.303,,,,,,
SN1996ao,2450327.79,,,,,,,,,,,,,20.538,+0.172,-0.148,19.902,+0.246,-0.200
