SN1996af  3879  nIa     0.100  0.067  22 28 31.13  -68 58 33.0  0.7W  0.3S  12/06/96
SN1996ag  3809  Ia?     0.140  0.062  21 46 50.47  -43 41 50.4  1.7E  0.4S  12/06/96
SN1996aj  3559  Ia      0.110  0.046  13 29 06.82  -29 14 02.0  4.5W  0.4N  15/06/96
SN1996am  3809  Ia      0.065  0.062  21 46 07.56  -44 00 10.9  0.4E  1.3N  12/07/96
SN1996ao  3128  Ia      0.058  0.060  03 28 03.60  -52 53 53.6  1.8E  0.8S  02/08/96
SN1996ap  3806  nIa     0.075  0.076  21 45 53.49  -57 08 27.3  8.6E  4.0N  11/08/96
SN1996bm  2819  nIa     0.164  0.075  00 44 40.85  -63 44 44.6  0.3W  0.6N  04/10/96
SN1996bx  3202  Ia      0.058  0.069  03 59 16.45  -53 22 26.3  0.8E  0.2N  18/11/96
SN1997by  1736  Ia      0.045  0.046  13 27 27.54  -27 19 21.7  7.0W  6.6N  27/04/97
SN1997bz  1238  Ia      0.030  0.072  11 22 25.46  +01 11 21.5  0.0E  0.2S  27/04/97
SN1997cl  3577  IIn     0.047  0.050  13 54 18.71  -27 44 27.9  2.5W  3.9N  02/05/97
SN1997cm  3528  nIa     0.071  0.053  12 53 37.03  -28 48 48.5  3.4E  0.5N  02/05/97
SN1997cp  3806  Ia?     0.160  0.076  21 44 36.50  -57 25 30.4  2.3W  1.3N  02/06/97
SN1997cr  3744  II      0.077  0.038  21 05 48.21  -25 13 29.8  0.1E  0.6S  02/06/97
SN1997cu  3128  Ia      0.062  0.060  03 29 03.05  -52 41 41.1  0.7E  0.9S  04/07/97
SN1997cv  3565  nIa     0.024  0.012  13 35 20.77  -34 12 11.6  7.6W  9.6N  07/07/97
SN1997cy  3266  IIpec   0.063  0.059  04 32 54.81  -61 42 57.5  0.9E  1.4N  16/07/97
SN1997cz  3565  nIa     0.048  0.012  13 37 09.39  -33 47 31.9  2.0E  4.4N  19/07/97
SN1997df  3223  nIa     0.059  0.060  04 09 13.80  -30 42 23.2  5.5W  2.9N  08/09/97
SN1997dr  3112  Ia?     0.075  0.075  03 18 49.21  -44 28 13.4  0.2E  0.5N  07/11/97
SN1997fb  3301  Ia      0.053  0.054  05 01 14.60  -38 38 12.7  1.3W  0.4N  31/12/97
SN1997fc  3301  Ia      0.054  0.054  04 59 58.81  -38 55 04.3  4.9E  1.9N  31/12/97
SN1997fd  3158  Ia?     0.190  0.059  03 41 15.65  -53 29 30.8  7.1E  1.3S  28/12/97
SN1997fe  3266  nIa     0.059  0.059  04 33 07.60  -61 26 19.2  5.7E  6.2S  31/12/97
SN1998O   3566  nIa     0.049  0.050  13 39 34.98  -35 46 32.5  1.1E 16.4N  27/01/98
SN1998P   3566  nIa     0.097  0.050  13 37 17.63  -35 27 32.6  2.3E  2.5N  27/01/98
SN1998Q   3562  nIa     0.040  0.050  13 32 46.38  -31 37 23.4  0.1E  1.5N  27/01/98
SN1998Z   3341  Ia      0.038  0.038  05 24 58.78  -31 21 38.1  1.5W  2.3S  16/03/98
SN1998bq  2029  nIa     0.095  0.077  15 10 24.94  +05 55 30.0  1.2W  1.7S  18/04/98
SN1998br  2029  Ia?     0.081  0.077  15 10 20.53  +05 51 16.5  5.1E  3.6N  28/04/98
SN1998bs  3558  nIa     0.047  0.048  13 26 31.51  -31 09 08.9  0.1E  0.5N  18/04/98
SN1998bt  1736  nIa            0.046  13 25 41.93  -26 46 55.7              10/03/98
SN1998ch  3559  II      0.047  0.046  13 29 13.31  -29 17 26.8  1.3W  1.8S  18/05/98
SN1998cm  1780  Ia      0.080  0.079  13 44 12.97  +03 00 40.3  0.2E  0.4N  10/06/98
SN1998cq  2819  nIa     0.150  0.075  00 45 06.11  -63 49 50.4  0.3E  1.2N  17/06/98
SN1998do   168  Ia?     0.092  0.045  01 14 30.92  +00 28 13.0  0.2E  0.4N  01/08/98
SN1998dp  2401  nIa     0.057  0.057  21 58 28.12  -19 58 05.9  0.0E  0.6N  14/08/98  
SN1998du  2819  nIa     0.076  0.075  00 45 11.73  -63 48 21.6  1.9E  0.8N  14/08/98  
SN1998dv  3266  Ia?     0.155  0.059  04 29 46.79  -61 30 25.4  2.1W  0.3N  22/08/98  
SN1998dw   151  Ia      0.049  0.053  01 09 11.56  -15 29 46.7  2.7E  1.1N  28/08/98  
SN1998dy  3266  nIa            0.059  04 29 54.24  -61 12 43.1              14/07/98
SN1998dz  3122  Ia      0.091  0.064  03 20 58.18  -41 05 22.8              03/09/98
SN1998ea  3266  Ia      0.057  0.059  04 33 46.59  -61 35 20.4  5.9W  1.5N  06/09/98
SN1998el  3122  nIa     0.100  0.064  03 21 01.21  -41 33 06.6  0.8W  1.1S  22/10/98
SN1998ez  3188  nIa     0.072  0.076  03 57 32.93  -27 12 13.6  0.7E  4.0N  08/12/98
SN1998fb  3128  Ia?     0.060  0.060  03 30 45.86  -52 32 12.2  0.3E  0.1N  20/12/98
SN1999Y   3142  nIa     0.100  0.066  03 36 55.81  -39 33 04.9  3.8W  0.9S  10/01/99
SN1999ao  3392  Ia      0.055  0.055  06 27 26.37  -35 50 24.2  2.3W  0.9N  05/03/99
