SN1986G    1.58 0.21   12.08 0.02   11.16 0.03                             0.0018   27.40 0.10
SN1996bl   1.08 0.10   16.65 0.03   16.60 0.02   16.62 0.02    16.87 0.03  0.0360   35.85 0.07
SN1996bo   1.30 0.10   15.83 0.02   15.51 0.02   15.24 0.02    15.53 0.02  0.0173   33.75 0.03
SN1996bv   0.90 0.20   15.27 0.08   15.10 0.07   14.96 0.08    15.12 0.08  0.0167   33.77 0.06
SN1996bx   1.46 0.22   18.05 0.36   19.27 0.32   18.35 0.15    20.81 0.63  0.0580   37.04 0.62
SN1997by   1.43 0.10   17.28 0.05   17.26 0.03   17.29 0.03    17.39 0.06  0.0450   36.24 0.09
SN1997bz   1.04 0.22                18.73 0.07   18.11 0.07    18.19 0.49  0.0300   35.21 0.54
SN1997cp   1.34 0.21   19.69 0.54                19.53 0.49                0.160    39.69 0.45
SN1997cu   1.54 0.23                18.13 0.16   18.08 0.16                0.0620   37.07 0.14
SN1997dr   1.88 0.20   18.56 0.20   18.81 0.11   18.64 0.08    18.76 0.27  0.0750   37.35 0.09
SN1997fb   1.06 0.13   18.38 0.14   18.25 0.13   18.11 0.07    18.30 0.14  0.0530   36.92 0.14
SN1997fc   0.94 0.11   17.47 0.08   17.59 0.05   17.55 0.04    17.75 0.08  0.0540   36.99 0.08
SN1997fd   1.26 0.25   20.45 0.16                20.84 0.17                0.190    40.31 0.27
SN1998Z    1.06 0.22                17.65 0.16   17.51 0.14                0.0380   37.16 0.39
SN1998br   1.26 0.18   18.87 0.08                18.70 0.07                0.0810   37.96 0.26
SN1998bu   1.08 0.10   12.10 0.01   11.79 0.01   11.63 0.01    11.66 0.01  0.0025   30.05 0.05
SN1998cm   0.90 0.20   18.51 0.10                18.36 0.06                0.0800   37.75 0.24
SN1998do   1.34 0.21   18.57 0.21                18.90 0.19                0.0920   38.18 0.30
SN1998dv   1.34 0.21   19.71 0.32                19.67 0.28                0.155    39.27 0.59
SN1998dw   1.27 0.11                17.17 0.29   17.04 0.32                0.0490   36.91 0.18
SN1998dz   1.01 0.10   18.79 0.07   18.90 0.12   18.82 0.06    19.06 0.18  0.0910   38.11 0.14
SN1998ea   1.06 0.13   19.87 0.55   17.82 0.07   18.15 0.07    19.71 0.80  0.0570   37.01 0.17
SN1998fb   1.34 0.27                17.61 0.38   17.99 0.21                0.0597   37.18 0.23
SN1999ao   0.90 0.11   17.78 0.05   17.83 0.05   17.77 0.04    18.15 0.06  0.0550   37.00 0.08
