2450246.62                                                                                      20.403 +0.291 -0.229 19.967 +0.074 -0.069
2450248.81                                                                                      20.006 +0.079 -0.074 19.869 +0.049 -0.047
2450252.93                                            19.655 +0.096 -0.088                      
2450253.90                                            19.789 +0.097 -0.089                      
2450254.92                                            19.603 +0.046 -0.044                      
2450255.82                                                                                      19.716 +0.100 -0.091 19.757 +0.049 -0.047
2450256.14  20.173 +0.028 -0.028 19.784 +0.024 -0.024                      19.922 +0.094 -0.087 
2450267.93                                                                                      20.386 +0.384 -0.283 19.731 +0.167 -0.145
2450273.82                                                                                      20.810 +0.343 -0.260 20.205 +0.167 -0.145
2450276.76                                                                                      21.000 +0.386 -0.284 20.179 +0.115 -0.104
2450288.76                                                                                      21.373 +0.985 -0.508 21.061 +0.142 -0.126
2450289.10                       21.347 +0.127 -0.114                      20.880 +0.245 -0.200 
2450310.19                       22.262 +0.228 -0.188                      22.799 +0.372 -0.276 
