2451188.62                                                                                      23.214 +2.189 -0.678
2451242.60                                                                                      18.071 +0.020 -0.020 17.938 +0.008 -0.008
2451246.58                                                                                      17.980 +0.011 -0.011 17.866 +0.016 -0.016
2451247.63  18.188 +0.005 -0.005 18.077 +0.007 -0.007 17.892 +0.008 -0.008 18.414 +0.017 -0.017
2451267.54  20.270 +0.082 -0.076 19.163 +0.035 -0.034 18.608 +0.025 -0.024 18.728 +0.024 -0.023
2451274.58  20.792 +0.062 -0.058 19.575 +0.034 -0.033 18.877 +0.027 -0.027 18.708 +0.034 -0.033
2451275.58  20.621 +0.219 -0.182 19.596 +0.070 -0.066 19.006 +0.041 -0.039 20.337 +0.261 -0.210
2451277.53  21.128 +0.032 -0.031 19.792 +0.023 -0.023 19.070 +0.007 -0.007 18.993 +0.023 -0.022
2451287.56  21.427 +0.149 -0.131 20.253 +0.034 -0.033 19.611 +0.029 -0.028 19.556 +0.075 -0.070
2451296.42  21.625 +0.075 -0.070 20.493 +0.046 -0.044 19.898 +0.020 -0.020 19.995 +0.053 -0.051
2451304.48  21.635 +0.079 -0.073 20.622 +0.029 -0.028 20.057 +0.021 -0.021 20.395 +0.039 -0.038
