2450543.77                                                                                      22.803 +1.778 -0.642 21.319 +0.974 -0.505
2450564.52                                                                                      18.184 +0.023 -0.023 18.025 +0.030 -0.029
2450572.63                       17.507 +0.013 -0.013 17.331 +0.009 -0.009 17.595 +0.021 -0.021 
2450574.80  17.577 +0.009 -0.009 17.495 +0.013 -0.013 17.340 +0.011 -0.011 17.685 +0.028 -0.027 
2450576.57                                                                                      17.506 +0.007 -0.007 17.392 +0.011 -0.011
2450588.56  19.276 +0.041 -0.039 18.263 +0.019 -0.018 17.916 +0.010 -0.010 17.869 +0.023 -0.023 
2450597.69                                                                                      19.186 +0.055 -0.053 18.433 +0.036 -0.035
2450603.58                                                                                      19.556 +0.056 -0.053 18.825 +0.029 -0.028
2450609.97  20.810 +0.088 -0.081 19.645 +0.032 -0.031 19.159 +0.023 -0.023 18.958 +0.049 -0.047 
2450635.63  21.251 +0.105 -0.096 20.190 +0.048 -0.046 20.218 +0.063 -0.059 19.849 +0.097 -0.089 
2450636.52                                                                                      20.232 +0.120 -0.108 20.165 +0.154 -0.135
2450648.51                                                                                      20.391 +0.161 -0.141 20.687 +0.198 -0.168
2450652.56  21.380 +0.116 -0.105 20.547 +0.060 -0.057                      20.571 +0.232 -0.191 
2450670.97                       20.922 +0.125 -0.112                      22.059 +2.878 -0.714 
