2451062.83                                                                                      19.604 +0.073 -0.069 19.511 +0.099 -0.091
2451072.70                                                                                      18.602 +0.027 -0.026 18.221 +0.032 -0.031
2451086.80                                                                                      18.496 +0.043 -0.041 18.260 +0.036 -0.035
2451101.72                                                                                      19.599 +0.036 -0.035 18.978 +0.047 -0.045
2451107.65                                                                                      20.017 +0.071 -0.067 19.121 +0.051 -0.048
2451113.73                                                                                      20.129 +0.193 -0.164 19.148 +0.066 -0.062
2451143.11  22.430 +0.178 -0.153 20.911 +0.047 -0.045 20.369 +0.101 -0.092 20.551 +0.095 -0.087
2451146.67                                                                                      20.989 +0.298 -0.233 20.655 +0.217 -0.181
2451159.15                       21.594 +0.091 -0.084 21.006 +0.055 -0.052 20.846 +0.499 -0.340
2451167.63                                                                                      21.746 +0.247 -0.201 21.886 +1.541 -0.613
