2450675.84                                                                                                           20.845 +0.252 -0.204
2450687.85                                                                                      20.313 +0.126 -0.113 20.053 +0.172 -0.148
2450699.78                                                                                      20.040 +0.071 -0.067 19.391 +0.129 -0.115
2450701.86                                                                                      19.836 +0.072 -0.068 19.409 +0.053 -0.050
2450708.84                                                                                      20.536 +0.257 -0.208 19.826 +0.133 -0.119
2450720.71                                                                                      19.708 +0.048 -0.046 19.816 +0.081 -0.076
2450735.76                                                                                      20.314 +0.211 -0.176 19.457 +0.148 -0.130
2450759.24  20.783 +0.054 -0.051 20.420 +0.045 -0.043 20.034 +0.040 -0.039 19.437 +0.049 -0.047
2450759.67                                                                                      20.550 +0.131 -0.117 19.678 +0.072 -0.068
2450774.61                                                                                      21.325 +0.423 -0.304 20.270 +0.230 -0.190
2450783.56                                                                                                           20.442 +0.290 -0.229
2450801.62                                                                                                           22.608 +1.171 -0.550
