2450648.47                                                                                                           21.674 +0.747 -0.438
2450840.81                                                                                      20.277 +0.067 -0.063 20.272 +0.100 -0.091
2450848.78                                                                                      19.975 +0.056 -0.053 19.782 +0.067 -0.063
2450851.87                                                                 19.660 +0.059 -0.056
2450863.68  20.914 +0.053 -0.051 20.104 +0.034 -0.033 19.661 +0.031 -0.030 19.475 +0.044 -0.042
2450867.85                                                                                      20.410 +0.112 -0.101 19.799 +0.049 -0.047
2450869.77                                                                                      20.556 +0.115 -0.104
2450882.79                                                                                      20.852 +0.161 -0.140 19.858 +0.061 -0.058
2450905.22                                            20.541 +0.082 -0.077
2450906.04                       21.493 +0.352 -0.266 20.463 +0.067 -0.063 20.001 +0.069 -0.065
2450909.76                                                                                      22.214 +0.796 -0.454 20.375 +0.196 -0.166
2450921.73                                                                                                           20.649 +0.183 -0.157
2450951.63                                                                                                           20.846 +0.311 -0.241
