2450810.62                                                                                                           20.707       i-0.940
2450813.65                                                                                      20.343 +0.104 -0.095 20.568 +0.187 -0.159
2450825.55                                                                                      17.847 +0.022 -0.022 17.791 +0.021 -0.020
2450834.64                                                                                                           17.601 +0.009 -0.009
2450845.06  18.312 +0.006 -0.006 17.980 +0.008 -0.008 17.999 +0.011 -0.010 18.333 +0.025 -0.025
2450862.59                                                                                      19.182 +0.032 -0.031 18.372 +0.022 -0.021
2450864.02  20.100 +0.019 -0.019 19.009 +0.022 -0.022 18.368 +0.010 -0.010 18.253 +0.015 -0.015
2450870.58                                                                                      19.629 +0.046 -0.044 18.682 +0.031 -0.030
2450888.52                                                                                      20.344 +0.115 -0.104 19.497 +0.068 -0.064
2450904.95                                            20.187 +0.074 -0.069 19.983 +0.083 -0.077
2450905.93  21.330 +0.099 -0.091 20.160 +0.035 -0.034 19.904 +0.030 -0.029 20.064 +0.035 -0.034
2450916.55                                                                                      21.898 +1.402 -0.592 
