2450648.49                                                                                      24.960       i-2.427
2450840.80                                                                                      19.614 +0.039 -0.038 19.579 +0.051 -0.049
2450844.79                                                                                      18.773 +0.025 -0.024 18.756 +0.026 -0.025
2450851.83  18.987 +0.052 -0.050 18.887 +0.019 -0.019 18.770 +0.013 -0.012 18.619 +0.029 -0.028
2450861.88  19.446 +0.075 -0.070 19.115 +0.036 -0.035 19.061 +0.025 -0.025 18.738 +0.041 -0.040
2450862.83  19.355 +0.024 -0.023 19.194 +0.024 -0.023 19.095 +0.012 -0.012 18.852 +0.038 -0.036
2450864.14  19.499 +0.021 -0.020 19.294 +0.024 -0.023 19.017 +0.013 -0.013 18.691 +0.022 -0.022
2450867.83                                                                                      19.392 +0.047 -0.045 19.052 +0.035 -0.034
2450869.79                       19.604 +0.023 -0.022 19.180 +0.014 -0.014 19.001 +0.036 -0.035
2450881.75                       19.604 +0.061 -0.058 19.180 +0.015 -0.015 19.001 +0.036 -0.035
2450882.80                                                                                      19.540 +0.043 -0.041 19.144 +0.030 -0.030
2450905.16  20.716 +0.036 -0.035 19.835 +0.033 -0.032 19.532 +0.021 -0.021 19.272 +0.042 -0.040
2450909.79                                                                                      19.884 +0.069 -0.065 19.215 +0.043 -0.041
2450921.74                                                                                      19.987 +0.072 -0.068 19.377 +0.030 -0.029
2450933.68                                                                                      20.275 +0.085 -0.079 19.583 +0.046 -0.044
2450951.57                                                                                      20.466 +0.124 -0.112 19.798 +0.100 -0.091
2450974.55                                                                                      20.652 +0.643 -0.401 20.155 +0.722 -0.430
