2451047.83                                                                                      22.158 +0.045 -0.043 21.390       i-0.890
2451059.85                                                                                      18.944 +0.039 -0.038 19.011 +0.155 -0.135
2451062.79                                                                                      18.897 +0.052 -0.049 18.827 +0.053 -0.051
2451089.82                                                                                      20.122 +0.185 -0.158 19.321 +0.049 -0.047
2451097.10  21.761 +0.176 -0.152 20.461 +0.039 -0.038 19.698 +0.025 -0.025 19.638 +0.048 -0.046
2451107.64                                                                                      21.017 +0.206 -0.173 19.893 +0.381 -0.281
2451109.71                                                                                      21.162 +0.108 -0.098 19.895 +0.089 -0.082
2451146.68                                                                                                           21.028 +0.255 -0.206
