J0448-6700,[HP99] 460,04:48:22,-66:59:52,0
J0449-6920,noname,04:49:20,-69:20:20,0
J0450-7050,B0450-709,04:50:27,-70:50:15,0
J0453-6655,N4,04:53:14,-66:55:13,0
J0453-6829,B0453-685,04:53:38,-68:29:27,2
J0454-6713,N9,04:54:33,-67:13:13,0
J0454-6626,N11L,04:54:49,-66:25:32,0
J0455-6839,N86,04:55:37,-68:38:47,0
J0459-7008,N186D,04:59:55,-70:07:52,0
J0505-6753,DEM L71,05:05:42,-67:52:39,1
J0505-6802,N23,05:05:55,-68:01:47,2
J0506-6541,DEM L72,05:06:05,-65:41:08,0
J0506-7026,[HP99] 1139,05:06:50,-70:25:53,0
J0508-6902,[HP99] 791,05:08:37,-69:02:54,1
J0508-6830,J0508-6830,05:08:50,-68:30:50,1
J0509-6844,N103B,05:08:59,-68:43:35,1
J0509-6731,B0509-67.5,05:09:31,-67:31:17,1
J0511-6759,noname,05:11:11,-67:59:08,1
J0512-6707,[HP99] 483,05:12:27,-67:07:18,0
J0513-6912,DEM L109,05:13:14,-69:12:20,0
J0514-6840,noname,05:14:16,-68:40:22,0
J0517-6759,noname,05:17:08,-67:59:29,0
J0518-6939,N120,05:18:41,-69:39:12,0
J0519-6902,B0519-690,05:19:35,-69:02:09,1
J0519-6926,B0520-694,05:19:44,-69:26:08,0
J0521-6543,DEM L142,05:21:39,-65:43:07,0
J0523-6753,N44,05:23:07,-67:53:12,0
J0524-6624,DEM L175a,05:24:20,-66:24:23,0
J0525-6938,N132D,05:25:04,-69:38:24,2
J0525-6559,N49B,05:25:25,-65:59:19,2
J0526-6605,N49,05:26:00,-66:04:57,2
J0527-6912,B0528-692,05:27:39,-69:12:04,0
J0527-6550,DEM L204,05:27:54,-65:49:38,0
J0527-6714,B0528-6716,05:27:56,-67:13:40,0
J0527-7104,[HP99] 1234,05:27:57,-71:04:30,0
J0528-6727,DEM L205,05:28:05,-67:27:20,0
J0529-6653,DEM L214,05:29:51,-66:53:28,0
J0530-7008,DEM L218,05:30:40,-70:07:30,0
J0531-7100,N206,05:31:56,-71:00:19,2
J0532-6732,B0532-675,05:32:30,-67:31:33,0
J0533-7202,1RXSJ053353.6-7204,05:33:46,-72:02:59,0
J0534-6955,B0534-699,05:34:02,-69:55:03,1
J0534-7033,DEM L238,05:34:18,-70:33:26,1
J0535-6916,SNR1987A,05:35:28,-69:16:11,2
J0535-6602,N63A,05:35:44,-66:02:14,2
J0535-6918,Honeycomb,05:35:46,-69:18:02,0
J0536-6735,DEM L241,05:36:03,-67:34:36,2
J0536-7039,DEM L249,05:36:07,-70:38:37,1
J0536-6913,B0536-6914,05:36:17,-69:13:28,2
J0537-6628,DEM L256,05:37:27,-66:27:50,0
J0537-6910,N157B,05:37:46,-69:10:28,2
J0540-6944,N159,05:39:59,-69:44:02,0
J0540-6920,B0540-693,05:40:11,-69:19:55,2
J0541-6659,[HP99] 456,05:41:51,-66:59:04,0
J0543-6858,DEM L299,05:43:08,-68:58:18,0
J0547-6943,DEM L316B,05:46:59,-69:42:50,0
J0547-6941,DEM L316A,05:47:22,-69:41:26,1
J0547-7025,B0548-704,05:47:49,-70:24:54,1
J0550-6823,noname,05:50:30,-68:22:40,0
