# max at 55613
#MJD		g		r		i		z		y
55561.60	9999	0.000	9999	0.000	21.97	0.045	9999	0.000	9999	0.000
55563.61	21.91	0.102	21.73	0.073	9999	0.000	9999	0.000	9999	0.000
55570.55	9999	0.000	9999	0.000	21.52	0.054	9999	0.000	9999	0.000
55572.58	21.38	0.073	21.35	0.054	9999	0.000	9999	0.000	9999	0.000
55576.62	9999	0.000	9999	0.000	21.22	0.045	9999	0.000	9999	0.000
55582.44	9999	0.000	9999	0.000	9999	0.000	9999	0.000	21.2	0.175
55583.52	9999	0.000	9999	0.000	9999	0.000	21.26	0.045	9999	0.000
55584.56	20.92	0.063	20.93	0.045	9999	0.000	9999	0.000	9999	0.000
55586.61	9999	0.000	9999	0.000	9999	0.000	21.18	0.036	9999	0.000
55587.63	20.85	0.036	20.82	0.028	9999	0.000	9999	0.000	9999	0.000
55588.64	9999	0.000	9999	0.000	20.93	0.028	9999	0.000	9999	0.000
55589.56	9999	0.000	9999	0.000	9999	0.000	21.11	0.036	9999	0.000
55590.57	20.82	0.036	20.87	0.036	9999	0.000	9999	0.000	9999	0.000
55592.58	9999	0.000	9999	0.000	9999	0.000	21.06	0.036	9999	0.000
55593.61	20.82	0.036	20.78	0.028	9999	0.000	9999	0.000	9999	0.000
55594.45	9999	0.000	9999	0.000	20.85	0.028	9999	0.000	9999	0.000
55595.53	9999	0.000	9999	0.000	9999	0.000	21.02	0.028	9999	0.000
55596.51	20.75	0.036	20.68	0.028	9999	0.000	9999	0.000	9999	0.000
55597.51	9999	0.000	9999	0.000	20.82	0.028	9999	0.000	9999	0.000
55602.43	20.64	0.045	20.7	0.036	9999	0.000	9999	0.000	9999	0.000
55608.43	9999	0.000	9999	0.000	9999	0.000	9999	0.000	20.85	0.122
55609.02	20.81	0.063	20.63	0.054	20.72	0.036	9999	0.000	9999	0.000
55610.49	9999	0.000	9999	0.000	9999	0.000	9999	0.000	20.9	0.092
55611.03	20.73	0.092	20.55	0.054	9999	0.000	20.82	0.082	9999	0.000
55613.08	20.7	0.092	20.53	0.054	9999	0.000	20.86	0.028	9999	0.000
55615.02	20.76	0.045	20.62	0.036	20.67	0.036	20.94	0.092	9999	0.000
55616.03	20.74	0.028	20.57	0.028	20.74	0.028	20.72	0.063	9999	0.000
