#MJD		U	Uerr	B	Berr	V	Verr	R	Rerr	I	Ierr	r	rerr
56149.70	nan	nan	nan	nan	nan	nan	17.89	0.12	nan	nan	17.86	0.11
56158.30	16.50	0.09	18.16	0.07	18.19	0.05	18.10	0.04	18.08	0.04	18.07	0.02
56164.30	16.72	0.08	18.41	0.06	18.32	0.05	18.23	0.04	18.22	0.04	18.18	0.02
56166.40	16.82	0.08	18.39	0.06	18.28	0.05	18.24	0.04	18.23	0.04	18.19	0.02
56179.60	nan	nan	nan	nan	nan	nan	18.66	0.10	nan	nan	18.62	0.09
56186.30	18.75	0.09	19.61	0.06	19.03	0.05	18.88	0.04	18.58	0.04	18.84	0.02
56194.30	19.86	0.14	19.83	0.07	19.36	0.05	19.22	0.05	18.89	0.05	19.18	0.03
56210.30	nan	nan	20.71	0.15	20.03	0.08	19.66	0.07	19.24	0.17	19.66	0.06
56223.50	nan	nan	nan	nan	20.50	0.30	20.09	0.30	19.68	0.30	20.08	0.30
56233.40	nan	nan	nan	nan	nan	nan	20.82	0.24	nan	nan	20.81	0.24
56254.20	nan	nan	nan	nan	22.88	0.14	21.54	0.08	20.98	0.08	21.53	0.07
56268.20	nan	nan	23.56	0.38	22.05	0.09	21.27	0.08	20.82	0.10	21.26	0.07
56295.20	nan	nan	nan	nan	nan	nan	23.16	0.18	nan	nan	23.15	0.18
