#MJD		g	gerr	r	rerr	i	ierr	z	zerr
56411.30	nan	nan	21.9	nan	nan	nan	nan	nan	# limit
56425.20	nan	nan	20.25	0.19	nan	nan	nan	nan
56429.20	nan	nan	19.90	0.12	nan	nan	nan	nan
56442.20	nan	nan	19.41	0.14	nan	nan	nan	nan
56444.20	nan	nan	19.39	0.11	nan	nan	nan	nan
56449.20	nan	nan	19.32	0.20	nan	nan	nan	nan
56456.00	19.27	0.13	19.55	0.13	19.81	0.10	19.80	0.09
56456.20	nan	nan	19.58	0.12	nan	nan	nan	nan
56456.90	19.29	0.13	19.57	0.13	19.87	0.12	nan	nan
56457.90	19.18	0.15	19.62	0.12	19.71	0.11	19.60	0.18
56459.10	19.33	0.13	19.62	0.13	nan	nan	nan	nan
#56459.30	19.11	0.15	19.71	0.14	19.79	0.11	19.64	0.23
56459.30	nan	nan	nan	nan	19.79	0.11	19.64	0.23
56459.90	19.34	0.16	19.65	0.12	19.88	0.12	19.89	0.16
56460.10	19.40	0.14	19.59	0.12	nan	nan	nan	nan
56463.40	nan	nan	19.77	0.20	nan	nan	nan	nan
56464.10	19.50	0.14	19.80	0.12	20.00	0.14	nan	nan
56465.90	19.61	0.16	19.77	0.14	20.04	0.15	19.82	0.21
56468.00	19.74	0.14	19.78	0.12	19.94	0.09	nan	nan
56473.00	19.75	0.13	19.96	0.11	20.38	0.23	19.94	0.20
56475.00	19.81	0.13	20.03	0.12	20.27	0.09	nan	nan
56475.30	19.85	0.21	20.02	0.18	20.18	0.11	20.12	0.19
56476.00	19.82	0.14	20.08	0.12	20.36	0.11	nan	nan
56483.80	20.40	0.15	20.44	0.14	20.62	0.13	nan	nan
56487.00	20.72	0.15	20.45	0.13	20.59	0.13	nan	nan
56502.00	21.41	0.26	21.04	0.41	21.24	0.23	20.72	0.30
56508.00	22.16	0.14	21.43	0.12	21.31	0.09	20.99	0.11
56519.00	nan	nan	22.10	0.13	nan	nan	nan	nan
56520.00	nan	nan	nan	nan	21.98	0.17	nan	nan
56520.50	nan	nan	nan	nan	nan	nan	21.11	0.30
