# max at 55925.54
# MJD		g		r		i		z	

55925.54	18.59	0.076	n/a	n/a	n/a	n/a	n/a	n/a
55951.54	19.28	0.076	n/a	n/a	n/a	n/a	n/a	n/a
55957.54	19.63	0.074	n/a	n/a	n/a	n/a	n/a	n/a
55979.74	21.611	0.076	20.045	0.063	19.667	0.049	19.437	0.101
55980.71	21.582	0.116	20.068	0.055	19.643	0.070	19.384	0.136
55981.62	21.621	0.047	n/a	n/a	n/a	n/a	n/a	n/a
55982.69	21.642	0.111	20.100	0.057	19.607	0.058	19.410	0.059
55995.71	n/a	n/a	20.477	0.194	19.990	0.107	19.688	0.215
55997.68	22.073	0.199	20.557	0.215	20.080	0.195	19.810	0.192
55999.69	22.097	0.195	20.588	0.105	20.098	0.166	19.880	0.218
56000.70	22.095	0.102	20.609	0.051	20.121	0.108	19.903	0.193
56005.67	22.060	0.090	20.676	0.065	20.258	0.087	20.063	0.101
56010.65	22.326	0.160	20.982	0.104	20.515	0.147	20.334	0.298
56014.66	22.486	0.107	21.206	0.122	20.670	0.186	20.593	0.406
56073.55	23.807	0.119	22.312	0.145	21.902	0.193	21.818	0.129
56106.54	23.677	0.119	22.162	0.145	21.802	0.193	21.638	0.129
56129.44	23.787	0.119	22.172	0.145	21.772	0.193	21.608	0.129
56990.34	22	0.100	20.960	0.154	20.617	0.443	n/a	n/a
56995.34	22	0.100	20.960	0.154	20.617	0.443	n/a	n/a
