2450675.84                                                                                              45.92     9.50 
2450687.85                                                                            74.98     8.22    95.19    13.95 
2450699.78                                                                            96.43     6.11   175.16    19.59 
2450701.86                                                                           116.34     7.50   172.33     8.19 
2450708.84                                                                            61.04    12.86   117.33    13.56 
2450720.71                                                                           130.81     5.66   118.51     8.57 
2450735.76                                                                            74.90    13.21   164.84    20.95 
2450759.24    48.63     2.34    67.90     2.76    96.92     3.51   168.00     7.42 
2450759.67                                                                            60.24     6.85   134.47     8.66 
2450774.61                                                                            29.51     9.53    78.00    14.90 
2450783.56                                                                                              66.58    15.63 
2450801.62                                                                                               9.06     5.98 
