2450327.74                                                                             5.58     7.30     3.72    10.11 
2450348.78                                                                                              15.08     8.93 
2450360.67                                                                            39.21     2.58    57.94     6.56 
2450366.65                                                                            38.58     5.80    62.63    11.24 
2450369.12    39.43     2.18    43.13     2.01                                     
2450369.55                                                                            40.52     6.00    54.34    11.67 
2450370.14    41.09     1.56    40.36     1.76                      26.79     6.19 
2450384.56                                                                            33.74     6.94    32.96    12.75 
2450399.67                                                                             5.83     4.47                   
2450427.08                                        19.11     1.56                   
