2450645.90                                                                          1127.32    11.62  1936.00    14.83 
2450660.87                                                                           993.25     4.96  1645.12    13.14 
2450669.80                                                                           935.39     7.30  1551.78     9.83 
2450671.31   563.18     3.68   985.38     3.32                    1490.30    10.67 
2450681.75                                                                           874.54    14.51  1415.61    11.29 
2450699.30   452.30     6.73   811.63     4.64  1036.90     8.91                   
2450699.81                                                                           738.50     6.47  1230.52    12.20 
2450708.86                                                                           719.87    12.24  1130.67    14.01 
2450719.75                                                                           651.13     5.53  1053.25    11.10 
2450726.64                                                                           607.39     7.16  1006.90     9.90 
2450738.65                                                                           559.33    13.92   943.11    18.96 
2450759.68                                                                           509.68     7.79   819.12     9.11 
2450774.65                                                                           449.24     7.14   755.67    10.12 
2450789.84                     479.92     3.27                     647.71     7.04 
2450790.65                     472.48     3.90   578.87     6.89   637.45     9.41 
2450806.17   252.75     4.02   441.91     4.28   541.49     6.14   569.56     9.96 
2450813.65                                                                           376.45     5.90   539.21     8.45 
2450825.55                                                                           359.93    14.73   587.18    17.63 
2450834.63                                                                           338.70     5.08   559.75     8.37 
2450862.56                                                                           301.85     4.86   497.77     7.44 
2450864.06   203.97     3.54   336.27     3.36   411.76     4.31   413.36     7.27 
2450870.56                                                                           281.35     6.58   462.14    10.63 
2450888.51                                                                           267.69    12.09   438.41     7.17 
2451026.88                                                                            86.55     4.14   135.47     8.12 
2451047.84                                                                            70.25     5.24   113.05     9.13 
2451053.83                                                                            63.93     6.12   104.81     8.54 
2451056.82                                                                            65.36     5.94   101.31     7.74 
2451062.83                                                                            60.28    10.66    55.33    30.51 
2451072.70                                                                            63.22     9.92    90.28    11.96 
2451086.80                                                                            45.80    12.87    64.29    15.94 
2451101.72                                                                            30.15     5.63    52.08    11.42 
2451107.65                                                                            27.19     5.40    47.61     8.49 
2451113.73                                                                                              44.45    17.36 
