2451062.83                                                                           143.98     9.39   156.83    13.68 
2451072.70                                                                           362.47     8.75   514.52    15.13 
2451086.80                                                                           399.74    15.52   496.77    16.33 
2451101.72                                                                           144.72     4.72   256.42    10.81 
2451107.65                                                                            98.45     6.26   224.60    10.26 
2451113.73                                                                            88.81    14.49   219.17    12.97 
2451143.11    10.67     1.61    43.23     1.82    71.18     6.32    60.19     5.03 
2451146.67                                                                            40.23     9.65    54.71     9.92 
2451159.15                      23.04     1.85    39.61     1.96    45.90    16.90 
2451167.63                                                                            20.02     4.07    17.61    13.35 
