2450246.60                                                                           137.84    10.54   227.04    11.70
2450248.81                                                                           172.29     4.37   255.13     5.81
2450254.93                                       246.22     4.30                        
2450255.82                                                                           138.62     5.49   257.28     8.46
2450256.23    65.92     2.20   165.03     2.35                     279.82    11.58    
2450267.93                                                                            41.57     7.52   119.35    10.51
2450276.76                                                                            24.06     4.82    52.91     8.53
2450276.81                                                                            21.98     4.30    39.75     8.26
2450289.21                      21.22     2.36                       6.43    19.56    
2450297.84                                                                            12.32    16.00    14.01    11.71
