2	1895ApJ.....3..162M	 Mrs. Fleming, Pickering, E.C: 1895, Astrophys.J. 3, 162
2	1989CiUO.........4H	 (= Harvard Coll.Obs.Circ. No.4)
1	1897ApJ.....5..233C	 Campbell, W.W.:1897, Astrophys.J. 5, 233
1	1896PASP....8..220H	 Hussey, W.J.: 1896, Publ.Astron.Soc.Pacific 8, 220
1	1896AJ.....16...85H	 Hussey, W.J.: 1895, Astron. J. 16, 85
1	1898AJ.....19...31H	 Hussey, W.J.: 1898, Astron. J. 19, 31
1	1933AnHar..84..189W	 Walker, A.D.: 1923, Harvard Ann. 84, 189
2	1916AnHar..76...34C	 Cannon, A.J.: 1916, Harvard Ann. 76, 34
1	1898AJ.....19...92P	 Parkhurst, H.M.: 1898, Astron.J. 19, 92
1	1917LicOB...9..108C	 Curtis, H.D.: 1917, Lick Obs.Bull. 9, 108
1	1938ApJ....88..285B	 Baade, W.: 1938, Astrophys.J. 88, 285
0	-------------------	 (new estimates of Curtis' data)
1	1938ApJ....88..285B	 Baade, W.: 1938, Astrophys.J. 88, 285
0	-------------------	 (new estimates of old data)
1	1922AN....215..215B	 Balanowski, J.: 1922, Astron. Nachr. 215, 215
2	1939AnHar.910...47H	 Hoffleit, D.: 1939, Harvard Bull. No. 910, 47
1	1920AN....210..373W	 Wolf, M.: 1920, Astron. Nachr. 210, 373
1	1939PNAS...25..569S	 Shapley, H.: 1939, Proc.nat.Acad.Sci.USA 25, 569
2	1989AstNw......187H	 (=Harvard Repr. No. 187)
1	1938ApJ....88..411B	 Baade, W., Zwicky, F.: 1938, Astrophys.J. 88, 411
2	1939ATsir..28...73D	 Deutsch, A.N.: 1939, Pulkovo Circ. 28, 73
2	1938AN....265...76J	 Jacchia, L.:1938, Astron. Nachr. 265, 76
2	1938PZP.....5..176P	 Parenago, P.P.: 1938, Perm.Zvezdy 5, 176
1	1939AN....268..341B	 Beyer, M.: 1939, Astron. Nachr. 268, 341
1	1938ApJ....88..411B	 Baade, W., Zwicky, F.: 1938, Astrophys.J. 88, 411
1	1939AN....268..341B	 Beyer, M.: 1939, Astron. Nachr. 268, 341
1	1938MNRAS..98..216B	 Beer, A., Gregory, C.C.L.: 1938, Mon.Not.R.Astr.Soc. 98, 216
1	1939BHarO.910....1H	 Hoffleit, D.: 1939, Harvard Bull. No. 910, 1
