03D3ce,0.2881,2771.5,12.0,2821.9,5762,522,23.45,0.50,0.39,0.50,41.10,0.40
03D4cw,0.1543,2863.0,10.5,2878.9,3067,660,22.33,0.09,0.90,0.10,39.11,0.55
04D1ln,0.2077,3276.5,6.0,3353.9,3593,159,22.79,0.05,0.70,0.07,39.70,0.15
04D1pj,0.1556,3305.8,5.5,3352.9,4981,214,21.99,0.04,0.66,0.06,39.69,0.15
04D4fu,0.1330,3217.5,7.0,3297.9,3861,150,21.99,0.04,0.59,0.05,38.94,0.14
