 1 16.962 0.003 15.810 0.003 15.099 0.001 14.510 0.004 
 2 17.596 0.017 17.059 0.004 16.702 0.004 16.357 0.007 
 3 18.029 0.008 17.412 0.004 17.032 0.004 16.664 0.006 
 4 19.724 0.013 18.246 0.006 17.123 0.011 15.687 0.008 
 5 17.521 0.004 16.694 0.005 16.233 0.007 15.816 0.013 
 6 17.924 0.014 17.371 0.007 17.018 0.008 16.675 0.008 
 7 19.456 0.010 18.082 0.007 17.210 0.004 16.398 0.005 
 8 20.354 0.020 18.843 0.010 17.886 0.006 16.877 0.007 
 9 16.449 0.013 15.851 0.004 15.508 0.003 15.184 0.004 
10 17.566 0.005 16.854 0.009 16.441 0.004 16.048 0.009 
11 18.083 0.008 16.940 0.005 16.283 0.003 15.748 0.008 
12 17.086 0.005 16.397 0.002 15.986 0.003 15.598 0.004 
13 18.823 0.011 17.932 0.012 17.392 0.013 16.957 0.015 
14 18.609 0.009 17.176 0.004 16.222 0.017 15.263 0.011 
15 19.814 0.018 18.826 0.011 18.194 0.011 17.652 0.011 
17 16.057 0.003 15.194 0.003 14.711 0.002 14.305 0.005 
18 16.187 0.003 15.457 0.003 15.037 0.002 14.649 0.003 
19 17.731 0.005 17.239 0.009 16.917 0.004 16.605 0.012 
20 18.009 0.044 17.073 0.009 16.510 0.049 16.073 0.006 
21 15.097 0.011 14.550 0.002 14.202 0.004 13.857 0.001 
