 1 16.492 0.004 15.562 0.004 15.031 0.002 14.564 0.006 
 2 17.392 0.004 16.654 0.004 16.243 0.008 15.862 0.011 
 3 18.425 0.006 17.583 0.007 17.070 0.007 16.579 0.007 
 4 18.785 0.008 17.829 0.008 17.280 0.005 16.806 0.010 
 5 19.284 0.042 18.172 0.009 17.527 0.006 16.946 0.010 
 6 19.384 0.028 18.095 0.007 17.271 0.007 16.501 0.006 
 7 16.720 0.003 16.084 0.003 15.715 0.003 15.351 0.007 
 8 17.568 0.004 16.989 0.005 16.627 0.004 16.267 0.005 
 9 19.494 0.011 18.154 0.009 17.324 0.007 16.555 0.006 
10 18.783 0.011 17.733 0.007 17.111 0.005 16.608 0.008 
11 17.432 0.005 16.748 0.004 16.344 0.004 15.973 0.008 
12 17.352 0.003 16.715 0.015 16.349 0.006 15.986 0.006 
13 17.261 0.004 16.502 0.007 16.062 0.006 15.626 0.003 
14 20.066 0.020 18.672 0.018 17.818 0.009 17.006 0.007 
15 17.328 0.006 16.658 0.004 16.253 0.004 15.835 0.008 
16 17.296 0.004 16.680 0.004 16.312 0.005 15.947 0.009 
17 18.631 0.023 17.979 0.008 17.591 0.009 17.207 0.009 
18 17.611 0.005 17.016 0.006 16.646 0.005 16.277 0.007 
19 17.546 0.006 16.882 0.004 16.489 0.004 16.088 0.006 
